Group,Subgroup,Pathway
Neuronal System,Transmission across Chemical Synapses,R-HSA-112313
Neuronal System,Transmission across Chemical Synapses,R-HSA-112314
Neuronal System,Transmission across Chemical Synapses,R-HSA-181429
Neuronal System,Transmission across Chemical Synapses,R-HSA-181430
Neuronal System,Transmission across Chemical Synapses,R-HSA-210500
Neuronal System,Transmission across Chemical Synapses,R-HSA-212676
Neuronal System,Transmission across Chemical Synapses,R-HSA-264642
Neuronal System,Transmission across Chemical Synapses,R-HSA-888590
Neuronal System,Transmission across Chemical Synapses,R-HSA-379401
Neuronal System,Transmission across Chemical Synapses,R-HSA-380615
Neuronal System,Transmission across Chemical Synapses,R-HSA-210455
Neuronal System,Transmission across Chemical Synapses,R-HSA-181431
Neuronal System,Transmission across Chemical Synapses,R-HSA-399721
Neuronal System,Transmission across Chemical Synapses,R-HSA-442755
Neuronal System,Transmission across Chemical Synapses,R-HSA-451326
Neuronal System,Transmission across Chemical Synapses,R-HSA-977443
Neuronal System,Transmission across Chemical Synapses,R-HSA-622323
Neuronal System,Transmission across Chemical Synapses,R-HSA-622327
